BEARING MARK,M,DIM A,DIM B,T1,T2,T3,T4,MAX,PROFILE,M10,Check,M Is greater than 0,Checks,,,,
B81-P13-BER-09,-20,470,570,37.1,49.36,32.26,20,49.36,50,YES,FALSE,FALSE,TRUE,,,,
B81-P31-BER-14,-20,470,570,49.78,35.11,20,34.67,49.78,50,YES,FALSE,FALSE,TRUE,,,,
B81-P34-BER-23,20,470,570,35.67,20,34.25,49.92,49.92,50,YES,TRUE,TRUE,TRUE,,,,
B81-P10-BER-07,-20,470,570,34.25,49.93,35.68,20,49.93,50,YES,FALSE,FALSE,TRUE,,,,
B81-P31-BER-04,20,470,570,44.31,20,25.7,50.01,50.01,55,YES,TRUE,TRUE,TRUE,,,,
B81-P06-BER-09,20,470,570,32.97,20,37.1,50.07,50.07,55,YES,TRUE,TRUE,TRUE,,,,
B81-P06-BER-08,20,470,570,33.04,20,37.1,50.14,50.14,55,YES,TRUE,TRUE,TRUE,,,,
B81-P06-BER-07,20,470,570,33.11,20,37.1,50.21,50.21,55,YES,TRUE,TRUE,TRUE,,,,
B81-P06-BER-04,20,470,570,33.18,20,37.1,50.28,50.28,55,YES,TRUE,TRUE,TRUE,,,,
B81-P06-BER-06,20,470,570,33.19,20,37.1,50.29,50.29,55,YES,TRUE,TRUE,TRUE,,,,
B81-P06-BER-05,20,470,570,33.2,20,37.1,50.3,50.3,55,YES,TRUE,TRUE,TRUE,,,,
B81-P06-BER-03,20,470,570,33.3,20,37.1,50.4,50.4,55,YES,TRUE,TRUE,TRUE,,,,
B81-P06-BER-02,20,470,570,33.4,20,37.1,50.5,50.5,55,YES,TRUE,TRUE,TRUE,,,,
B81-P10-BER-08,-20,470,570,34.25,50.62,36.37,20,50.62,55,YES,FALSE,FALSE,TRUE,,,,
B81-P35-BER-03,20,470,700,34.7,20,35.93,50.63,50.63,55,YES,TRUE,TRUE,TRUE,,,,
B81-P31-BER-15,-20,470,570,50.66,35.11,20,35.55,50.66,55,YES,FALSE,FALSE,TRUE,,,,
B81-P10-BER-09,-20,470,570,34.25,50.97,36.72,20,50.97,55,YES,FALSE,FALSE,TRUE,,,,
B81-P31-BER-05,20,470,570,45.5,20,25.7,51.2,51.2,55,YES,TRUE,TRUE,TRUE,,,,
B81-P06-BER-01,20,470,570,34.1,20,37.1,51.2,51.2,55,YES,TRUE,TRUE,TRUE,,,,
B81-P31-BER-16,-20,470,570,51.21,35.11,20,36.1,51.21,55,YES,FALSE,FALSE,TRUE,,,,
B81-P12-BER-01,-20,470,570,37.1,51.36,34.26,20,51.36,55,YES,FALSE,FALSE,TRUE,,,,
B81-P11-BER-01,-20,470,570,37.1,51.39,34.29,20,51.39,55,YES,FALSE,FALSE,TRUE,,,,
B81-P34-BER-04,20,470,570,39.67,20,31.76,51.43,51.43,55,YES,TRUE,TRUE,TRUE,,,,
B81-P31-BER-17,-20,470,570,51.74,35.11,20,36.64,51.74,55,YES,FALSE,FALSE,TRUE,,,,
B81-P12-BER-02,-20,470,570,37.1,51.76,34.66,20,51.76,55,YES,FALSE,FALSE,TRUE,,,,
B81-P11-BER-10,-20,470,570,37.1,51.76,34.66,20,51.76,55,YES,FALSE,FALSE,TRUE,,,,
B81-P11-BER-02,-20,470,570,37.1,51.77,34.67,20,51.77,55,YES,FALSE,FALSE,TRUE,,,,
B81-P12-BER-03,-20,470,570,37.1,51.81,34.71,20,51.81,55,YES,FALSE,FALSE,TRUE,,,,
B81-P12-BER-10,-20,470,570,37.1,51.82,34.72,20,51.82,55,YES,FALSE,FALSE,TRUE,,,,
B81-P11-BER-03,-20,470,570,37.1,51.83,34.73,20,51.83,55,YES,FALSE,FALSE,TRUE,,,,
B81-P12-BER-04,-20,470,570,37.1,51.85,34.75,20,51.85,55,YES,FALSE,FALSE,TRUE,,,,
B81-P11-BER-04,-20,470,570,37.1,51.86,34.76,20,51.86,55,YES,FALSE,FALSE,TRUE,,,,
B81-P12-BER-05,-20,470,570,37.1,51.91,34.81,20,51.91,55,YES,FALSE,FALSE,TRUE,,,,
B81-P11-BER-05,-20,470,570,37.1,51.91,34.81,20,51.91,55,YES,FALSE,FALSE,TRUE,,,,
B81-P12-BER-06,-20,470,570,37.1,51.95,34.85,20,51.95,55,YES,FALSE,FALSE,TRUE,,,,
B81-P11-BER-06,-20,470,570,37.1,51.95,34.85,20,51.95,55,YES,FALSE,FALSE,TRUE,,,,
B81-P12-BER-07,-20,470,570,37.1,51.99,34.89,20,51.99,55,YES,FALSE,FALSE,TRUE,,,,
B81-P11-BER-07,-20,470,570,37.1,51.99,34.89,20,51.99,55,YES,FALSE,FALSE,TRUE,,,,
B81-P12-BER-08,-20,470,570,37.1,52.02,34.92,20,52.02,55,YES,FALSE,FALSE,TRUE,,,,
B81-P11-BER-08,-20,470,570,37.1,52.05,34.95,20,52.05,55,YES,FALSE,FALSE,TRUE,,,,
B81-P12-BER-09,-20,470,570,37.1,52.08,34.98,20,52.08,55,YES,FALSE,FALSE,TRUE,,,,
B81-P11-BER-09,-20,470,570,37.1,52.08,34.98,20,52.08,55,YES,FALSE,FALSE,TRUE,,,,
B81-P34-BER-27,-20,470,570,52.28,37.1,20,35.18,52.28,55,YES,FALSE,FALSE,TRUE,,,,
B81-P31-BER-18,-20,470,570,52.29,35.11,20,37.19,52.29,55,YES,FALSE,FALSE,TRUE,,,,
B81-P31-BER-06,20,470,570,46.72,20,25.7,52.42,52.42,55,YES,TRUE,TRUE,TRUE,,,,
B81-P34-BER-26,-20,470,570,52.77,37.1,20,35.67,52.77,55,YES,FALSE,FALSE,TRUE,,,,
B81-P34-BER-25,-20,470,570,52.79,37.1,20,35.69,52.79,55,YES,FALSE,FALSE,TRUE,,,,
B81-P34-BER-24,-20,470,570,52.83,37.1,20,35.73,52.83,55,YES,FALSE,FALSE,TRUE,,,,
B81-P31-BER-19,-20,470,570,52.84,35.11,20,37.74,52.84,55,YES,FALSE,FALSE,TRUE,,,,
B81-P34-BER-22,20,470,570,35.75,20,37.1,52.85,52.85,55,YES,TRUE,TRUE,TRUE,,,,
B81-P34-BER-21,20,470,570,35.81,20,37.1,52.91,52.91,55,YES,TRUE,TRUE,TRUE,,,,
B81-P34-BER-15,20,470,570,35.82,20,37.1,52.92,52.92,55,YES,TRUE,TRUE,TRUE,,,,
B81-P35-BER-02,20,470,700,35.57,20,37.41,52.98,52.98,55,YES,TRUE,TRUE,TRUE,,,,
B81-P34-BER-20,20,470,570,35.9,20,37.1,53,53,55,YES,TRUE,TRUE,TRUE,,,,
B81-P34-BER-19,20,470,570,35.98,20,37.1,53.08,53.08,55,YES,TRUE,TRUE,TRUE,,,,
B81-P31-BER-09,20,470,570,50.3,20,22.85,53.15,53.15,55,YES,TRUE,TRUE,TRUE,,,,
B81-P34-BER-18,20,470,570,36.06,20,37.1,53.16,53.16,55,YES,TRUE,TRUE,TRUE,,,,
B81-P34-BER-17,20,470,570,36.13,20,37.1,53.23,53.23,55,YES,TRUE,TRUE,TRUE,,,,
B81-P34-BER-16,20,470,570,36.21,20,37.1,53.31,53.31,55,YES,TRUE,TRUE,TRUE,,,,
B81-P31-BER-20,-20,470,570,53.39,35.11,20,38.29,53.39,55,YES,FALSE,FALSE,TRUE,,,,
B81-P34-BER-03,20,470,570,40.49,20,32.97,53.46,53.46,55,YES,TRUE,TRUE,TRUE,,,,
B81-P31-BER-07,20,470,570,47.9,20,25.7,53.6,53.6,55,YES,TRUE,TRUE,TRUE,,,,
B81-P31-BER-21,-20,470,570,53.93,35.11,20,38.82,53.93,55,YES,FALSE,FALSE,TRUE,,,,
B81-P11-BER-11,-20,470,570,34.25,54.2,39.95,20,54.2,55,YES,FALSE,FALSE,TRUE,,,,
B81-P31-BER-22,-20,470,570,54.48,35.11,20,39.37,54.48,55,YES,FALSE,FALSE,TRUE,,,,
B81-P11-BER-12,-20,470,570,34.25,54.52,40.27,20,54.52,55,YES,FALSE,FALSE,TRUE,,,,
B81-P31-BER-08,20,470,570,49.12,20,25.7,54.82,54.82,55,YES,TRUE,TRUE,TRUE,,,,
B81-P35-BER-01,20,470,700,36.31,20,38.9,55.21,55.21,60,YES,TRUE,TRUE,TRUE,,,,
B81-P11-BER-13,-20,470,570,34.25,55.22,40.97,20,55.22,60,YES,FALSE,FALSE,TRUE,,,,
B81-P33-BER-26,-20,470,570,55.73,37.39,20,38.35,55.73,60,YES,FALSE,FALSE,TRUE,,,,
B81-P29-BER-03,-20,470,570,55.77,37.1,20,38.67,55.77,60,YES,FALSE,FALSE,TRUE,,,,
B81-P29-BER-02,-20,470,570,55.78,37.1,20,38.68,55.78,60,YES,FALSE,FALSE,TRUE,,,,
B81-P29-BER-04,-20,470,570,55.78,37.1,20,38.68,55.78,60,YES,FALSE,FALSE,TRUE,,,,
B81-P29-BER-05,-20,470,570,55.78,37.1,20,38.68,55.78,60,YES,FALSE,FALSE,TRUE,,,,
B81-P29-BER-06,-20,470,570,55.78,37.1,20,38.68,55.78,60,YES,FALSE,FALSE,TRUE,,,,
B81-P29-BER-07,-20,470,570,55.78,37.1,20,38.68,55.78,60,YES,FALSE,FALSE,TRUE,,,,
B81-P29-BER-08,-20,470,570,55.78,37.1,20,38.68,55.78,60,YES,FALSE,FALSE,TRUE,,,,
B81-P29-BER-09,-20,470,570,55.78,37.1,20,38.68,55.78,60,YES,FALSE,FALSE,TRUE,,,,
B81-P29-BER-10,-20,470,570,55.78,37.1,20,38.68,55.78,60,YES,FALSE,FALSE,TRUE,,,,
B81-P29-BER-11,-20,470,570,55.78,37.1,20,38.68,55.78,60,YES,FALSE,FALSE,TRUE,,,,
B81-P29-BER-12,-20,470,570,55.78,37.1,20,38.68,55.78,60,YES,FALSE,FALSE,TRUE,,,,
B81-P34-BER-02 ,20,470,570,41.63,20,34.18,55.81,55.81,60,YES,TRUE,TRUE,TRUE,,,,
B81-P11-BER-14,-20,470,570,34.25,55.9,41.65,20,55.9,60,YES,FALSE,FALSE,TRUE,,,,
B81-P11-BER-15,-20,470,570,34.25,56.08,41.83,20,56.08,60,YES,FALSE,FALSE,TRUE,,,,
B81-P29-BER-13,-20,470,570,56.14,37.1,20,39.04,56.14,60,YES,FALSE,FALSE,TRUE,,,,
B81-P33-BER-25,-20,470,570,56.18,37.39,20,38.8,56.18,60,YES,FALSE,FALSE,TRUE,,,,
B81-P29-BER-01,-20,470,570,56.21,37.1,20,39.11,56.21,60,YES,FALSE,FALSE,TRUE,,,,
B81-P33-BER-24,-20,470,570,56.26,37.39,20,38.88,56.26,60,YES,FALSE,FALSE,TRUE,,,,
B81-P33-BER-14,20,470,570,39.18,20,37.1,56.28,56.28,60,YES,TRUE,TRUE,TRUE,,,,
B81-P31-BER-26,-20,470,570,56.32,37.1,20,39.22,56.32,60,YES,FALSE,FALSE,TRUE,,,,
B81-P33-BER-23,-20,470,570,56.35,37.39,20,38.96,56.35,60,YES,FALSE,FALSE,TRUE,,,,
B81-P14-BER-15,-20,470,570,37.1,56.37,39.27,20,56.37,60,YES,FALSE,FALSE,TRUE,,,,
B81-P14-BER-16,-20,470,570,37.1,56.43,39.33,20,56.43,60,YES,FALSE,FALSE,TRUE,,,,
B81-P33-BER-22,20,470,570,39.06,20,37.39,56.44,56.44,60,YES,TRUE,TRUE,TRUE,,,,
B81-P14-BER-17,-20,470,570,37.1,56.49,39.39,20,56.49,60,YES,FALSE,FALSE,TRUE,,,,
B81-P33-BER-21,20,470,570,39.15,20,37.39,56.54,56.54,60,YES,TRUE,TRUE,TRUE,,,,
B81-P14-BER-18,-20,470,570,37.1,56.55,39.45,20,56.55,60,YES,FALSE,FALSE,TRUE,,,,
B81-P14-BER-19,-20,470,570,37.1,56.61,39.51,20,56.61,60,YES,FALSE,FALSE,TRUE,,,,
B81-P33-BER-20,20,470,570,39.23,20,37.39,56.62,56.62,60,YES,TRUE,TRUE,TRUE,,,,
B81-P33-BER-18,20,470,570,39.25,20,37.39,56.63,56.63,60,YES,TRUE,TRUE,TRUE,,,,
B81-P33-BER-17,20,470,570,39.27,20,37.39,56.65,56.65,60,YES,TRUE,TRUE,TRUE,,,,
B81-P33-BER-19,20,470,570,39.27,20,37.39,56.66,56.66,60,YES,TRUE,TRUE,TRUE,,,,
B81-P14-BER-14,-20,470,570,37.1,56.66,39.56,20,56.66,60,YES,FALSE,FALSE,TRUE,,,,
B81-P14-BER-20,-20,470,570,37.1,56.67,39.57,20,56.67,60,YES,FALSE,FALSE,TRUE,,,,
B81-P31-BER-23,-20,470,570,56.68,37.1,20,39.58,56.68,60,YES,FALSE,FALSE,TRUE,,,,
B81-P31-BER-24,-20,470,570,56.68,37.1,20,39.58,56.68,60,YES,FALSE,FALSE,TRUE,,,,
B81-P31-BER-25,-20,470,570,56.68,37.1,20,39.58,56.68,60,YES,FALSE,FALSE,TRUE,,,,
B81-P33-BER-16,20,470,570,39.35,20,37.39,56.73,56.73,60,YES,TRUE,TRUE,TRUE,,,,
