BEARING MARK,DIM A,DIM B,T1,T2,T3,T4,MAX,PROFILE,T1 MOD,T2MOD,T3MOD,T4MOD
B81-P32-BER-23,470,570,61,37,20,44,61,65,4,28,45,21
B81-P32-BER-24,470,570,61,37,20,44,61,65,4,28,45,21
B81-P32-BER-25,470,570,61,37,20,44,61,65,4,28,45,21
B81-P32-BER-26,470,570,61,37,20,44,61,65,4,28,45,21
B81-P30-BER-06,470,570,61,35,20,46,61,65,4,30,45,19
B81-P30-BER-07,470,570,61,35,20,46,61,65,4,30,45,19
B81-P33-BER-01,470,570,45,20,37,62,62,65,20,45,28,3
B81-P33-BER-02,470,570,45,20,37,62,62,65,20,45,28,3
B81-P33-BER-03,470,570,45,20,37,62,62,65,20,45,28,3
B81-P33-BER-04,470,570,45,20,37,62,62,65,20,45,28,3
B81-P33-BER-05,470,570,45,20,37,62,62,65,20,45,28,3
B81-P33-BER-06,470,570,45,20,37,62,62,65,20,45,28,3
B81-P33-BER-07,470,570,45,20,37,62,62,65,20,45,28,3
B81-P33-BER-08,470,570,45,20,37,62,62,65,20,45,28,3
B81-P30-BER-08,470,570,62,35,20,47,62,65,3,30,45,18
B81-P30-BER-09,470,570,62,35,20,47,62,65,3,30,45,18
B81-P32-BER-01,470,570,47,20,37,64,64,65,18,45,28,1
B81-P32-BER-02,470,570,47,20,37,64,64,65,18,45,28,1
B81-P32-BER-03,470,570,47,20,37,64,64,65,18,45,28,1
B81-P32-BER-04,470,570,47,20,37,64,64,65,18,45,28,1
B81-P32-BER-07,470,570,47,20,37,64,64,65,18,45,28,1
B81-P32-BER-08,470,570,47,20,37,64,64,65,18,45,28,1
B81-P32-BER-09,470,570,47,20,37,64,64,65,18,45,28,1
B81-P32-BER-10,470,570,64,37,20,47,64,65,1,28,45,18
B81-P32-BER-11,470,570,64,37,20,47,64,65,1,28,45,18
B81-P32-BER-12,470,570,64,37,20,47,64,65,1,28,45,18
B81-P32-BER-13,470,570,64,37,20,47,64,65,1,28,45,18
B81-P30-BER-10,470,570,65,37,20,47,65,65,0,28,45,18
B81-P30-BER-11,470,570,65,37,20,47,65,65,0,28,45,18
B81-P30-BER-12,470,570,65,37,20,47,65,65,0,28,45,18
B81-P30-BER-13,470,570,65,37,20,47,65,65,0,28,45,18
B81-P31-BER-10,470,570,68,37,20,51,68,70,2,33,50,19
B81-P31-BER-11,470,570,68,37,20,51,68,70,2,33,50,19
B81-P31-BER-12,470,570,68,37,20,51,68,70,2,33,50,19
B81-P31-BER-13,470,570,68,37,20,51,68,70,2,33,50,19
